Year,Month,Total_Recovered,Average_Recovered,Variance_Recovered,STDEV_Recovered
2020,1,143,0.0929,2.633585343228195,1.6228325062150422
2020,2,31405,7.0320,12446.6619841429,111.5646090126385
2020,3,133070,27.8739,40113.18979639222,200.28277458731247
2020,4,792987,171.6422,769893.0319414467,877.4354859141763
2020,5,1519547,318.2964,1978206.4175948969,1406.4872617961732
2020,6,2535417,548.7916,6530172.493132202,2555.420218502664
2020,7,4693120,983.0582,24843877.85333294,4984.363334803447
2020,8,6202833,1299.2947,40170422.19780621,6338.014057873824
2020,9,6647749,1438.9067,57023566.44389443,7551.394999858929
2020,10,6782150,1420.6431,73731702.50184019,8586.716631043568
2020,11,9172292,1985.3446,50727618.87346639,7122.332404027938
2020,12,11924903,2497.8850,326694724.1038681,18074.69845125689
2021,1,9164347,1919.6370,31493700.11602569,5611.924813825083
2021,2,6719785,1558.3917,24427411.60468984,4942.409493828879
2021,3,7888013,1652.2859,34897391.64112127,5907.401428811256
2021,4,14205507,3074.7851,224419585.15055594,14980.640345143993
2021,5,19131842,4007.5078,755175531.756431,27480.45726978412
2021,6,5544438,2769.4496,233034407.39031225,15265.46453241146
