Year,Month,Total_Confirmed,Total_Deaths,Total_Recovered
2020,1,6384,190,143
2020,2,68312,2651,31405
2020,3,769236,41346,133070
2020,4,2336798,191833,792987
2020,5,2744333,144561,1519547
2020,6,3969634,137757,2535417
2020,7,6838092,167613,4693120
2020,8,7694938,179200,6202833
2020,9,8244794,160671,6647749
2020,10,11515841,175484,6782150
2020,11,16595938,262247,9172292
2020,12,19336799,339996,11924903
2021,1,18672205,401893,9164347
2021,2,10492664,298239,6719785
2021,3,13924790,282620,7888013
2021,4,21711021,362387,14205507
2021,5,19121083,366549,19131842
2021,6,5022282,132657,5544438
